"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","symbol","ADZ83-1.1","ADZ83-2.1","ADZ83-3.1","ADZ74-1.1","ADZ74-2.1","ADZ74-3.1"
"WBGene00049516",0.5217055,-0.1572855,0.3084276,-0.6353584,0.5251947,NA,"NotSig","21ur-2394",0,0,0,0,3.130233,0
"WBGene00220176",0.2742212,0.1335028,0.3084276,0.381079,0.7031446,NA,"NotSig","Y51H4A.940",0,0,1.645327,0,0,0
"WBGene00013120",0.9300798,-0.3442416,0.3610988,-1.019813,0.3078174,NA,"NotSig","fipr-28",0,0,0,5.580479,0,0
"WBGene00048538",0.4868949,-0.07850931,0.3145716,-0.247613,0.8044339,NA,"NotSig","21ur-1133",1.06121,0,0,1.86016,0,0
"WBGene00014581",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","Y51H4A.t3",1.06121,0,0,0,0,0
"WBGene00169210",0.5217055,-0.1572855,0.3084276,-0.6353584,0.5251947,NA,"NotSig","21ur-15593",0,0,0,0,3.130233,0
"WBGene00013116",0.7794848,-0.3580713,0.3674672,-0.9680721,0.3330084,NA,"NotSig","Y51H4A.22",0,0,0,0,3.130233,1.546676
"WBGene00012787",0.4470041,0.189294,0.3098959,0.5577089,0.5770432,NA,"NotSig","Y43D4A.1",0,1.859361,0.8226635,0,0,0
"WBGene00012788",0.82439,-0.2366808,0.3996173,-0.656437,0.511543,NA,"NotSig","Y43D4A.2",1.06121,0,0,0,1.565117,2.320013
"WBGene00012789",1.133221,-0.1813273,0.434302,-0.4340094,0.6642816,NA,"NotSig","Y43D4A.3",2.12242,0,0,0,3.130233,1.546676
"WBGene00012790",1.135346,0.02882872,0.4079187,0.0695948,0.9445162,NA,"NotSig","Y43D4A.4",0,3.718723,0,0,0,3.093351
"WBGene00014572",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","Y43D4A.t1",1.06121,0,0,0,0,0
"WBGene00012791",0.2742212,0.1335028,0.3084276,0.381079,0.7031446,NA,"NotSig","Y43D4A.5",0,0,1.645327,0,0,0
"WBGene00012792",0.4649734,-0.08074808,0.3104729,-0.2438952,0.807312,NA,"NotSig","Y43D4A.6",0,0.9296806,0,1.86016,0,0
"WBGene00013774",0.2742212,0.1335028,0.3084276,0.381079,0.7031446,NA,"NotSig","clec-193",0,0,1.645327,0,0,0
"WBGene00013776",0.5678059,-0.2787433,0.3344403,-0.7534599,0.4511736,NA,"NotSig","Y116A8A.6",0,0,0,1.86016,0,1.546676
"WBGene00169123",0.1371106,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-10037",0,0,0.8226635,0,0,0
"WBGene00048233",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-4933",1.06121,0,0,0,0,0
"WBGene00173271",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-14439",1.06121,0,0,0,0,0
"WBGene00173778",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-9441",1.06121,0,0,0,0,0
"WBGene00195757",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","T06A10.105",1.06121,0,0,0,0,0
"WBGene00219547",0.6199201,-0.009574069,0.3406718,-0.02591157,0.9793279,NA,"NotSig","T06A10.106",0,1.859361,0,1.86016,0,0
"WBGene00171202",0.1550133,-0.08458844,0.3084276,-0.2742611,0.783884,NA,"NotSig","21ur-7806",0,0,0,0.9300798,0,0
"WBGene00050363",0.3100266,-0.1572855,0.3084276,-0.4820193,0.6297922,NA,"NotSig","21ur-1333",0,0,0,1.86016,0,0
"WBGene00255611",0.2577793,-0.1572855,0.3084276,-0.4368351,0.6622309,NA,"NotSig","Y116A8C.470",0,0,0,0,0,1.546676
"WBGene00013786",1.248011,-0.003811406,0.4454615,-0.008504932,0.9932141,NA,"NotSig","nep-24",2.12242,0,1.645327,3.720319,0,0
"WBGene00013788",0.2577793,-0.1572855,0.3084276,-0.4368351,0.6622309,NA,"NotSig","Y116A8C.8",0,0,0,0,0,1.546676
"WBGene00004402",0.3537366,0.1335028,0.3084276,0.4631437,0.6432614,NA,"NotSig","rom-3",2.12242,0,0,0,0,0
"WBGene00013794",0.7794848,-0.3580713,0.3674672,-0.9680721,0.3330084,NA,"NotSig","dct-13",0,0,0,0,3.130233,1.546676
"WBGene00013798",0.3100266,-0.1572855,0.3084276,-0.4820193,0.6297922,NA,"NotSig","clec-195",0,0,0,1.86016,0,0
